company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
AiSprouts VC,"We track emerging trends in technology and get to know top-talent working on breakthrough ideas. Staying engaged, we position ourselves as the first conversation any promising founder looks to have when they plan to raise their first significant round.",https://www.aisprouts.com/,suman@aisprouts.vc,Suman Talukdar,California,Mostly Follow,-,Software / Code,"Pre-Seed
Seed",-,-,-,"AI / ML
Data & Analytics",-,https://www.linkedin.com/in/stswww/,https://www.crunchbase.com/organization/aisprouts
Alabama Futures Fund,The Alabama Futures Fund is a seed-stage venture capital fund focused on supporting and growing entrepreneurial activity and economic development in Alabama.,https://alabamafuturesfund.com/,info@AlabamaFuturesFund.com,-,Alabama,Mostly Follow,-,Software / Code,Seed,-,-,-,"Marketplaces
Data & Analytics",-,https://www.linkedin.com/company/alabama-futures-fund/,https://www.crunchbase.com/organization/alabama-futures-fund
Alate Partners,We empower entrepreneurs who are rethinking real estate.,https://www.alatepartners.com/,hello@alatepartners.com,Courtney Cooper,Ontario,Mostly Follow,-,Agnostic,Seed,-,-,-,Real Estate,-,https://www.linkedin.com/company/alate-partners/about/,https://www.crunchbase.com/organization/alate-partners
Album VC,"Album VC is a venture capital firm that invests in early-stage technology ventures, shaping the future of technology and culture.",http://www.album.vc/,info@album.vc,"Diogo Myrrha, Sid K., John Mayfield",Utah,Mostly Follow,-,"Software / Code
Services",Seed,-,-,-,"AI / ML
SaaS
Sales & Marketing
Education",-,https://www.linkedin.com/company/albumvc/,https://www.crunchbase.com/organization/album
Alchemy,Alchemy Ventures invests in teams building revolutionary products for the web3 ecosystem.,https://alchemy.com/,hello@alchemy.com,"Nikil Viswanathan, Joe Lau",California,Mostly Follow,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/alchemyinc,https://www.crunchbase.com/organization/alchemy-insights
Alexandria Venture Investments,"Investing in Revolutionary Technologies to Cure Disease, Improve Nutrition, and Enhance the Future of Human Health.",http://www.are.com/venture-investments.html,Johrenk7@gmail.com,"Joel S. Marcus, Peter M. Moglia",California,Can Lead,-,Agnostic,Series A,-,-,Seed,"Healthcare
Biotech
Agriculture & Farming
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/alexandria-real-estate-equities-inc-/,https://www.crunchbase.com/organization/alexandria-venture-investments
Algorand,Algorand Ventures combines the cryptonative knowledge of the #Algofam community with the Foundation’s ability to support projects at different stages of their lifecycle.,https://www.algorand.com/,contact@algorand.com,Silvio Micali,Massachusetts,Mostly Follow,-,Software / Code,"Pre-Seed
Seed",-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/algorand,https://www.crunchbase.com/organization/algorand
ALIAVIA Ventures,ALIAVIA is a California based firm focused on early stage venture capital investing in U.S and Australian based female founders building world-changing enterprise and consumer tech companies.,https://aliavia.vc/,pitch@aliavia.vc,,California,Can Lead,"$25-100k
Up to $25k
$100-250k
$250-500k",Software / Code,"Pre-Seed
Seed",< 5%,"B2B
B2C","Pre-Seed
Seed",-,"Hardware, non-female founders (female founder with at least 50% equity in company)",,
Allegory Labs,Allegory invests and advises at the intersection of web3 and climate.,https://allegory.earth/,-,"Ed Walters, Ali Jones Thorne",New York,Mostly Follow,-,Software / Code,Seed,-,-,-,"Web3 / Blockchain
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/allegorylabs,https://www.crunchbase.com/organization/allegory-labs
AlleyCorp,We build and invest in transformative companies for the present and future.,https://alleycorp.com/,info@alleycorp.com,"Kevin Ryan, Jay Hass, Marshall Porter, Tanya Beja, Brenton Fargnoli, Jane Suh",New York,Can Lead,"$500k-1m
$1-3m
> $3m",Agnostic,Seed,-,-,Series A,"Healthcare
CleanTech / Impact / Sustainability
Hardware
Marketplaces
SaaS",-,https://www.linkedin.com/company/alleycorp,https://www.crunchbase.com/organization/alleycorp
Allied Venture Partners,"We invest in post-product/revenue, early-stage infrastructure software companies registered and based in North America. Our preferred domains include enterprise software, marketplaces, platforms, APIs, fintech, and AI/ML. Our preferred entry valuation for a first-time investment is sub-$10M.",https://www.allied.vc/,https://linktr.ee/alliedvc,Matt Wilson,Alberta,Mostly Follow,"$25-100k
$100-250k",Software / Code,"Pre-Seed
Seed",No Target,Agnostic,Series A,"AI / ML
Data & Analytics
Financial Services / Payments
Future of Work
Gaming
IaaS
Marketplaces
SaaS","bio/med/health, energy/climate, HR tech, govtech",https://www.linkedin.com/company/allied-venture-partners,https://www.crunchbase.com/organization/allied-venture-partners
Allos Ventures,"Allos Ventures is a venture capital firm that invests in high-potential, early-stage tech companies in the heart of the Midwest.",http://allosventures.com/,https://allosventures.com/contact,"David Kerr, John Mcilwraith",Indiana,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,-,-,https://www.linkedin.com/company/allos-ventures,https://www.crunchbase.com/organization/allos-ventures
Almaz Capital,Almaz Capital is an early-stage venture capital firm focused on investing in tech startups addressing global markets.,https://www.almazcapital.com/,press@almazcapital.com,"Alexander Galitsky, Geoffrey Baehr, Pasha Bogdanov, Charles E. Ryan, Aniruddha Nazaré",California,Mostly Lead,-,Software / Code,Series A,-,-,Seed,"AI / ML
Privacy & Security
SaaS
Healthcare",-,https://www.linkedin.com/company/1961578/,https://www.crunchbase.com/organization/almaz-capital
Alpaca VC,We are thematic investors focused on leading rounds across the US and Canada.,http://www.alpaca.vc/,hey@alpaca.vc,"Ryan Freedman, Aubrie Pagano, David Goldberg, Daniel Fetner",New York,Mostly Lead,"$500k-1m
$1-3m
> $3m",Agnostic,"Seed
Series A",-,-,Series B,"Real Estate
E-Commerce
Web3 / Blockchain
Consumer Goods
Supply Chain & Logistics
Healthcare
Future of Work
Financial Services / Payments
Hardware
Gaming
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/alpacavc,https://www.crunchbase.com/organization/alpaca-vc
Alpha Edison,Alpha Edison is an investment platform that partners with courageous entrepreneurs to build category-creating companies.,http://www.alphaedison.com/,connect@alphaedison.com,"Britt Danneman, Nick Grouf, Steve Horowitz, Robey Miller, Nate Redmond",California,Mostly Follow,-,Agnostic,Seed,-,-,-,"AI / ML
Healthcare
Education
Real Estate
Supply Chain & Logistics",-,https://www.linkedin.com/company/17926982/,https://www.crunchbase.com/organization/alpha-edison
Alpha Impact Investment Management Partners,AiiM Partners invests in technology-enabled companies addressing climate change while prioritizing equity and access.,https://www.aiimpartners.com/,info@aiimpartners.com,Shally Shanker,California,Mostly Follow,-,Agnostic,"Seed
Series A
Series B",-,-,-,"Energy
Agriculture & Farming
Food & Beverages
Data & Analytics",-,https://www.linkedin.com/company/aiimpartners/,https://www.crunchbase.com/organization/alpha-impact-investment-management
Alpha Wave Global,"Our objective is to invest in best-in-class venture and growth-stage companies, and endeavor to be helpful, long-term partners to the founders.",http://alphawaveglobal.com/,ir@falconedgecap.com,"Rick Gerson, Navroz D. Udwadia, Ryan Khoury",New York,Mostly Follow,-,Agnostic,Growth,-,-,-,"Hardware
Financial Services / Payments
Food & Beverages
Supply Chain & Logistics
Healthcare
Biotech
Consumer Goods
Data & Analytics",-,https://www.crunchbase.com/organization/falcon-edge-capital-2,
Also Capital,"Also Capital backs hard engineering startups early. We look for exceptional engineering talent, which is the greatest leading indicator of a company’s potential.",https://www.alsocapital.com/,mike@alsocapital.com,Mike Annunziata,New York,Mostly Lead,"$100-250k
$250-500k",Agnostic,Pre-Seed,5-7%,Agnostic,-,-,-,https://www.linkedin.com/company/also-capital/,https://www.crunchbase.com/organization/also-capital
Alta Partners,Alta Partners is a venture capital firm investing in the healthcare and life sciences sector.,http://www.altapartners.com/,alta@altapartners.com,"Dan Janney, Pete Hudson, Bob More",California,Mostly Follow,-,Agnostic,Growth,-,-,-,Healthcare,-,https://www.linkedin.com/company/alta-partners/,https://www.crunchbase.com/organization/alta-partners
AltaIR Capital,We invest in early and growth stage startup companies in various sectors.,http://www.altair.vc/,start@altair.vc,Igor Ryabenkiy,California,Mostly Follow,-,Software / Code,"Seed
Series A
Series B
Growth",-,-,-,"Financial Services / Payments
SaaS
Healthcare
Future of Work
AI / ML",-,https://www.linkedin.com/company/9291712,https://www.crunchbase.com/organization/altair
Altos Ventures,We make initial investments in early-stage companies tackling emerging consumer and enterprise opportunities.,http://www.altos.vc/,info@altos.vc,"Ho Nam, Han Kim, Anthony Lee",California,Mostly Lead,-,Agnostic,Series A,-,-,-,"Consumer Goods
Hardware
SaaS
Healthcare",We don’t chase trends or hot sectors. We avoid overfunded areas and prefer companies taking idiosyncratic approaches to solving big problems.,https://www.linkedin.com/company/395378,https://www.crunchbase.com/organization/altos-ventures
Amasia,We invest in companies that help us get to a safer and more sustainable planet.,https://www.amasia.vc/,info@amasia.vc,"John Kim, Ramanan Raghavendran, Wee Peng Yeo",California,Mostly Follow,-,Agnostic,"Seed
Series A
Series B",-,-,-,CleanTech / Impact / Sustainability,-,https://www.linkedin.com/company/amasia,https://www.crunchbase.com/organization/amasia
Amazon Alexa Fund,The Alexa Fund provides up to $200 million in venture capital funding to fuel voice technology innovation.,http://www.amazon.com/,https://developer.amazon.com/en-US/alexa/alexa-startups/alexa-fund/signup,"Paul Bernard, Zain Gulamali, Hanns Anders",Washington,Mostly Follow,> $3m,Agnostic,Growth,-,-,-,"Hardware
AI / ML
Financial Services / Payments
E-Commerce
Gaming
Social / Communities
Education
SaaS
Supply Chain & Logistics
Real Estate",-,http://linkedin.com/company/amazon-alexa-fund,https://www.crunchbase.com/organization/amazon-alexa-fund
AME Cloud Ventures,AME Cloud Ventures focuses on seed to later stage companies building infrastructure and value chains around data.,http://www.amecloudventures.com/,pr@amecloudventures.com,"Jerry Yang, Jeff Chung, Wretch Chien, Nick Adams",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Data & Analytics
Hardware",-,https://www.linkedin.com/company/ame-cloud-ventures,https://www.crunchbase.com/organization/ame-cloud-ventures
American Family Insurance Institute for Corporate and Social Impact,"We invest in startups that close equity gaps in the U.S. Our focus areas include 1) climate tech, clean teach, with a focus on resiliency and adaptation strategies; 2) workforce development, generational wealth building, reducing the impact of the criminal justice system; 3) K-12, post-secondary, and adult education and; 4) Mental, cognitive, and behavioral health as it relates to supporting children and their caregivers.",https://www.amfaminstitute.com/impact-investments/,institute@amfam.com,"John McIntyre, Dr. Joy Ippolito, Rob Kornblum, Chaarvi Badani, Amber Porter, Cliff Bartholomew",Wisconsin,Can Lead,$500k-1m,"Software / Code
Services","Seed
Series A",5-7%,Agnostic,"Pre-Seed
Series B","CleanTech / Impact / Sustainability
Energy
Financial Services / Payments
Education
Healthcare
Supply Chain & Logistics
Future of Work",-,https://www.linkedin.com/company/amfaminstitute,https://www.crunchbase.com/organization/amfam-institute-impact-fund
American Family Ventures,"American Family Ventures is an Insurtech venture capital pioneer, focusing on early stage startups that are shaping the future of the insurance industry.",http://amfamventures.com/,https://www.amfamventures.com/contact/,"Dan Reed, Brittany Clements, Katelyn Johnson, Kyle Beatty, Amanda Joseph, Cj Armbrust, Mike Mansell",Wisconsin,Mostly Lead,"$250-500k
$500k-1m
$1-3m
> $3m",Software / Code,"Seed
Series A",-,-,-,Financial Services / Payments,-,https://www.linkedin.com/company/american-family-insurance,https://www.crunchbase.com/organization/american-family-ventures
Amino Capital,"AMINO Capital is a venture firm based in Palo Alto, focusing on seed to growth-stage investments in data-driven technology startups.",http://www.aminocapital.com/,hello@aminocapital.com,"Larry Li, Jun Wu, Huican Zhu, Sue Xu",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"SaaS
Financial Services / Payments
Consumer Goods
AI / ML
Real Estate
Privacy & Security",-,https://www.linkedin.com/company/aminocapital,https://www.crunchbase.com/organization/zpark-venture
Amity Ventures,Amity Ventures is a people-focused firm that supports founders of technology companies in building category-defining businesses.,http://www.amity.vc/,-,"Cj Reim, Patrick Yang, Peter Bell",California,Can Lead,-,Software / Code,"Seed
Series A",-,-,-,"SaaS
Sales & Marketing
AI / ML
Healthcare
E-Commerce
Financial Services / Payments
Gaming
IaaS
Privacy & Security",-,https://www.linkedin.com/company/amity-ventures/,https://www.crunchbase.com/organization/amity-ventures
Amplifier Lab,"We invest in the world's OS - the supply chain: Our mission is to invest in and drive founders and engineers to solve our planet's biggest problems. Reshaping old industries, and redesigning core operating systems. Our aim is to ensure future planetary sustainability. Our playground is the hard, the forgotten, and the overlooked.",https://amplifierlab.io/,hp@amplifierlab.io,Henry Palmer,-,Can Lead,"$250-500k
$500k-1m
$1-3m",Agnostic,"Pre-Seed
Seed",-,"B2B
B2B2C",-,"Supply Chain & Logistics
Industrial & Manufacturing",-,https://www.linkedin.com/company/amplifierlab/,https://www.crunchbase.com/organization/amplifier-36cb
Amplify Partners,"Amplify invests in technical founders building the next generation of applications, tools, and platforms for developers, data teams, ML engineers, and everything in between.",http://www.amplifypartners.com/,info@amplifypartners.com,"Sarah Catanzaro, Mike Dauber, Sunil Dhaliwal, Lenny Pruss, Natalie Vais, Barr Yaron",California,Can Lead,-,Software / Code,"Seed
Series A",-,-,-,"AI / ML
Data & Analytics
Privacy & Security",-,https://www.linkedin.com/company/2926380,https://www.crunchbase.com/organization/amplify-partners
Amplify.LA,"We are LA's premier pre-seed fund, helping tech founders bring their vision to life.",http://amplify.la/,https://amplify.la/contact/,"Paul Bricault, Oded Noy, Connor Sundberg",California,Mostly Follow,-,Agnostic,Pre-Seed,-,-,-,"Gaming
Consumer Goods
Real Estate
Food & Beverages
SaaS
Marketplaces
Financial Services / Payments
E-Commerce
AI / ML
Healthcare",-,http://www.linkedin.com/company/amplify-la,https://www.crunchbase.com/organization/amplify-la
